Age,Workclass,Education,Maritalstatus,Occupation,Relationship,Race,Sex,HoursPerWeek,Country,Income
>50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,43,United-States,MoreThan50K
31-50,?,Bachelors,Divorced,?,Unmarried,White,Female,40,United-States,LessThan50K
>50,Local-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,35,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Protective-serv,Husband,Black,Male,40,United-States,MoreThan50K
22-30,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,75,United-States,MoreThan50K
18-21,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Female,40,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,MoreThan50K
>50,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40,United-States,LessThan50K
22-30,Local-gov,Some-college,Never-married,Protective-serv,Own-child,White,Male,48,United-States,LessThan50K
31-50,Private,Assoc-acdm,Separated,Sales,Not-in-family,Black,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Adm-clerical,Other-relative,White,Male,40,United-States,LessThan50K
>50,Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,LessThan50K
31-50,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,50,Philippines,MoreThan50K
22-30,Private,Assoc-acdm,Never-married,Sales,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,12,United-States,MoreThan50K
22-30,Private,Some-college,Never-married,Farming-fishing,Other-relative,Black,Male,72,United-States,LessThan50K
18-21,Private,11th,Never-married,Other-service,Own-child,White,Male,42,El-Salvador,LessThan50K
>50,?,Doctorate,Married-civ-spouse,?,Husband,White,Male,18-21,United-States,MoreThan50K
31-50,Private,Assoc-voc,Never-married,Sales,Not-in-family,White,Female,48,United-States,MoreThan50K
>50,Private,HS-grad,Widowed,Adm-clerical,Unmarried,White,Female,24,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Tech-support,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,State-gov,HS-grad,Separated,Adm-clerical,Own-child,White,Female,40,United-States,LessThan50K
31-50,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,68,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Other-relative,Amer-Indian-Eskimo,Male,42,United-States,LessThan50K
31-50,Self-emp-not-inc,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
>50,?,Prof-school,Married-civ-spouse,?,Wife,White,Female,25,?,LessThan50K
31-50,?,HS-grad,Never-married,?,Own-child,White,Male,40,United-States,LessThan50K
>50,Self-emp-inc,Bachelors,Divorced,Exec-managerial,Unmarried,White,Female,55,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,MoreThan50K
<18,?,10th,Never-married,?,Own-child,White,Female,25,United-States,LessThan50K
22-30,?,HS-grad,Married-civ-spouse,?,Wife,White,Female,40,United-States,LessThan50K
22-30,Private,HS-grad,Separated,Tech-support,Own-child,White,Female,40,United-States,LessThan50K
<18,Private,9th,Never-married,Sales,Own-child,White,Male,8,United-States,LessThan50K
>50,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,3,United-States,LessThan50K
>50,Private,10th,Divorced,Craft-repair,Not-in-family,White,Male,45,United-States,LessThan50K
22-30,Private,Assoc-voc,Never-married,Tech-support,Own-child,White,Male,55,United-States,LessThan50K
31-50,Private,Some-college,Widowed,Other-service,Unmarried,Black,Female,40,United-States,LessThan50K
22-30,Private,Assoc-acdm,Never-married,Adm-clerical,Own-child,White,Male,32,United-States,LessThan50K
22-30,?,Some-college,Never-married,?,Own-child,White,Male,72,United-States,LessThan50K
18-21,?,HS-grad,Never-married,?,Own-child,White,Male,44,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Tech-support,Not-in-family,White,Female,16,United-States,LessThan50K
31-50,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,MoreThan50K
>50,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,LessThan50K
31-50,Self-emp-inc,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,MoreThan50K
<18,Private,9th,Never-married,Sales,Not-in-family,White,Female,30,United-States,LessThan50K
22-30,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,MoreThan50K
18-21,Private,11th,Never-married,Other-service,Own-child,White,Male,40,United-States,LessThan50K
>50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
>50,Private,HS-grad,Divorced,Sales,Unmarried,White,Female,40,United-States,LessThan50K
31-50,Private,12th,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,LessThan50K
>50,Self-emp-inc,Bachelors,Divorced,Sales,Not-in-family,White,Male,40,United-States,MoreThan50K
>50,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,48,United-States,MoreThan50K
31-50,Private,Bachelors,Never-married,Tech-support,Unmarried,Asian-Pac-Islander,Female,40,India,LessThan50K
31-50,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,48,United-States,MoreThan50K
31-50,Private,Bachelors,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,40,United-States,MoreThan50K
22-30,?,HS-grad,Divorced,?,Other-relative,Black,Female,40,United-States,LessThan50K
31-50,Private,Masters,Never-married,Exec-managerial,Own-child,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,32,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,40,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,MoreThan50K
>50,?,7th-8th,Widowed,?,Not-in-family,White,Female,15,United-States,LessThan50K
>50,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,MoreThan50K
31-50,Private,Masters,Divorced,Prof-specialty,Unmarried,White,Female,40,United-States,MoreThan50K
18-21,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,18-21,United-States,LessThan50K
31-50,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
>50,Private,HS-grad,Widowed,Tech-support,Unmarried,White,Female,8,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,LessThan50K
>50,Private,9th,Married-spouse-absent,Machine-op-inspct,Unmarried,Black,Male,75,Haiti,LessThan50K
22-30,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,55,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Sales,Unmarried,White,Female,40,United-States,LessThan50K
22-30,Private,HS-grad,Divorced,Sales,Not-in-family,White,Male,40,United-States,LessThan50K
>50,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Wife,White,Female,70,United-States,LessThan50K
>50,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,MoreThan50K
31-50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,2,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,MoreThan50K
31-50,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,35,United-States,LessThan50K
18-21,Self-emp-not-inc,HS-grad,Never-married,Transport-moving,Own-child,White,Male,45,United-States,LessThan50K
>50,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Unmarried,White,Male,45,United-States,LessThan50K
>50,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,MoreThan50K
31-50,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,MoreThan50K
>50,Federal-gov,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Federal-gov,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,MoreThan50K
>50,Private,Doctorate,Divorced,Exec-managerial,Not-in-family,White,Male,60,United-States,MoreThan50K
18-21,Private,Assoc-voc,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,LessThan50K
31-50,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,65,United-States,MoreThan50K
31-50,Private,Assoc-voc,Never-married,Other-service,Not-in-family,White,Male,45,United-States,LessThan50K
31-50,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,MoreThan50K
22-30,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,40,United-States,LessThan50K
31-50,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,50,United-States,MoreThan50K
31-50,?,Assoc-voc,Separated,?,Own-child,White,Female,40,?,LessThan50K
31-50,Private,1st-4th,Married-civ-spouse,Adm-clerical,Husband,White,Male,66,Mexico,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,50,United-States,MoreThan50K
22-30,Private,Bachelors,Never-married,Exec-managerial,Unmarried,White,Female,30,United-States,LessThan50K
>50,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,32,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,LessThan50K
18-21,Private,7th-8th,Never-married,Transport-moving,Unmarried,White,Male,25,Guatemala,LessThan50K
22-30,Private,12th,Never-married,Transport-moving,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Self-emp-not-inc,Masters,Divorced,Prof-specialty,Not-in-family,White,Male,60,United-States,LessThan50K
31-50,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,50,United-States,MoreThan50K
<18,Private,11th,Never-married,Other-service,Other-relative,White,Female,12,United-States,LessThan50K
31-50,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,50,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,MoreThan50K
31-50,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,99,United-States,MoreThan50K
>50,Private,10th,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,LessThan50K
31-50,Self-emp-inc,Bachelors,Never-married,Farming-fishing,Not-in-family,White,Female,45,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,70,United-States,MoreThan50K
22-30,Private,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Own-child,White,Male,55,United-States,LessThan50K
31-50,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50,United-States,MoreThan50K
31-50,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Black,Female,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Machine-op-inspct,Own-child,Black,Female,40,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,50,Philippines,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,MoreThan50K
31-50,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,30,?,LessThan50K
22-30,Private,HS-grad,Separated,Handlers-cleaners,Not-in-family,Other,Male,30,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,25,United-States,LessThan50K
31-50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Canada,MoreThan50K
31-50,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,MoreThan50K
22-30,Private,7th-8th,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,LessThan50K
18-21,Private,10th,Never-married,Other-service,Other-relative,White,Male,40,United-States,LessThan50K
31-50,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Male,55,United-States,LessThan50K
31-50,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Adm-clerical,Own-child,Other,Male,40,United-States,LessThan50K
22-30,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male,45,United-States,LessThan50K
>50,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,18-21,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,LessThan50K
31-50,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,55,United-States,MoreThan50K
31-50,Private,10th,Widowed,Other-service,Not-in-family,White,Female,40,Portugal,LessThan50K
31-50,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,MoreThan50K
>50,Self-emp-inc,HS-grad,Married-civ-spouse,Prof-specialty,Husband,Black,Male,60,United-States,MoreThan50K
>50,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,LessThan50K
31-50,Private,9th,Divorced,Craft-repair,Not-in-family,White,Male,50,United-States,LessThan50K
22-30,Local-gov,Assoc-acdm,Never-married,Protective-serv,Not-in-family,Black,Male,40,United-States,LessThan50K
31-50,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Black,Male,35,United-States,LessThan50K
18-21,?,11th,Married-civ-spouse,?,Wife,Asian-Pac-Islander,Female,40,Laos,LessThan50K
31-50,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,LessThan50K
22-30,Private,11th,Never-married,Handlers-cleaners,Unmarried,White,Male,18-21,United-States,LessThan50K
31-50,?,HS-grad,Never-married,?,Not-in-family,White,Female,4,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Transport-moving,Unmarried,White,Female,70,United-States,LessThan50K
22-30,Self-emp-not-inc,11th,Divorced,Sales,Unmarried,White,Male,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,18-21,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,45,United-States,MoreThan50K
>50,Private,Some-college,Divorced,Prof-specialty,Not-in-family,White,Male,50,United-States,MoreThan50K
31-50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Prof-specialty,Other-relative,White,Male,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Farming-fishing,Not-in-family,White,Female,50,United-States,LessThan50K
22-30,Private,1st-4th,Never-married,Machine-op-inspct,Not-in-family,White,Male,24,Mexico,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,MoreThan50K
22-30,Private,Assoc-acdm,Never-married,Adm-clerical,Other-relative,White,Female,37,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,MoreThan50K
>50,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,38,United-States,LessThan50K
31-50,Private,Some-college,Divorced,Sales,Not-in-family,White,Female,45,United-States,LessThan50K
>50,?,HS-grad,Widowed,?,Unmarried,White,Female,42,United-States,MoreThan50K
22-30,Private,Some-college,Separated,Adm-clerical,Other-relative,Black,Female,40,Jamaica,LessThan50K
>50,Private,10th,Widowed,Other-service,Not-in-family,White,Female,10,United-States,LessThan50K
22-30,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,18-21,United-States,LessThan50K
>50,?,10th,Separated,?,Not-in-family,White,Male,30,United-States,LessThan50K
22-30,?,Some-college,Never-married,?,Not-in-family,White,Female,18-21,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,LessThan50K
<18,Private,7th-8th,Never-married,Other-service,Own-child,White,Male,36,Mexico,LessThan50K
>50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,44,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,50,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,48,United-States,LessThan50K
22-30,?,Some-college,Never-married,?,Own-child,White,Female,15,United-States,LessThan50K
31-50,Private,Assoc-acdm,Widowed,Sales,Unmarried,White,Female,35,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,MoreThan50K
31-50,Self-emp-not-inc,11th,Divorced,Craft-repair,Unmarried,White,Male,40,?,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,50,United-States,LessThan50K
31-50,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,MoreThan50K
31-50,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,38,United-States,LessThan50K
31-50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,51,United-States,LessThan50K
>50,Local-gov,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,28,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,50,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,MoreThan50K
22-30,?,Some-college,Divorced,?,Unmarried,Amer-Indian-Eskimo,Female,40,United-States,LessThan50K
>50,Local-gov,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,35,United-States,LessThan50K
>50,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,32,United-States,MoreThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Male,70,United-States,LessThan50K
>50,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,MoreThan50K
31-50,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,MoreThan50K
31-50,State-gov,Some-college,Divorced,Exec-managerial,Unmarried,White,Male,40,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,LessThan50K
<18,Private,12th,Never-married,Other-service,Own-child,White,Female,8,United-States,LessThan50K
>50,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,MoreThan50K
22-30,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,LessThan50K
>50,Local-gov,5th-6th,Divorced,Other-service,Other-relative,Black,Female,40,Haiti,LessThan50K
31-50,Private,Masters,Married-civ-spouse,Transport-moving,Husband,White,Male,55,United-States,MoreThan50K
18-21,Private,9th,Never-married,Handlers-cleaners,Own-child,White,Male,28,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,9th,Never-married,Priv-house-serv,Unmarried,White,Female,40,Columbia,LessThan50K
31-50,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,35,India,LessThan50K
22-30,?,Bachelors,Never-married,?,Not-in-family,White,Male,18-21,United-States,LessThan50K
18-21,Private,11th,Never-married,Other-service,Own-child,White,Male,18-21,Scotland,LessThan50K
31-50,Private,7th-8th,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,45,Laos,LessThan50K
22-30,Private,12th,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,Dominican-Republic,LessThan50K
22-30,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Poland,LessThan50K
>50,Self-emp-not-inc,1st-4th,Widowed,Craft-repair,Other-relative,White,Female,45,Columbia,LessThan50K
22-30,?,Bachelors,Never-married,?,Own-child,White,Male,40,United-States,LessThan50K
22-30,Private,10th,Never-married,Handlers-cleaners,Unmarried,White,Male,50,United-States,LessThan50K
31-50,Private,Masters,Divorced,Other-service,Not-in-family,Other,Female,30,United-States,LessThan50K
31-50,Private,Some-college,Never-married,Tech-support,Not-in-family,Black,Female,50,United-States,LessThan50K
31-50,Private,Some-college,Separated,Other-service,Not-in-family,White,Female,58,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Exec-managerial,Own-child,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Italy,LessThan50K
31-50,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40,Canada,LessThan50K
31-50,Private,Some-college,Never-married,Adm-clerical,Unmarried,White,Female,35,Puerto-Rico,LessThan50K
>50,?,Doctorate,Married-civ-spouse,?,Husband,White,Male,40,United-States,LessThan50K
31-50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Bachelors,Never-married,Tech-support,Own-child,White,Male,40,United-States,LessThan50K
22-30,?,Some-college,Never-married,?,Not-in-family,White,Female,12,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Male,32,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,LessThan50K
22-30,?,HS-grad,Separated,?,Unmarried,Black,Female,25,United-States,LessThan50K
>50,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Female,14,United-States,LessThan50K
31-50,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,30,United-States,LessThan50K
>50,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,United-States,LessThan50K
31-50,Self-emp-not-inc,HS-grad,Separated,Craft-repair,Other-relative,White,Male,50,United-States,LessThan50K
>50,Private,7th-8th,Married-civ-spouse,Sales,Husband,White,Male,15,United-States,LessThan50K
>50,Private,Masters,Divorced,Exec-managerial,Unmarried,White,Male,40,United-States,MoreThan50K
>50,Private,Some-college,Widowed,Sales,Not-in-family,White,Male,35,United-States,MoreThan50K
>50,Private,7th-8th,Widowed,Exec-managerial,Not-in-family,White,Male,40,United-States,MoreThan50K
31-50,?,11th,Married-civ-spouse,?,Wife,White,Female,8,United-States,LessThan50K
31-50,Private,HS-grad,Separated,Exec-managerial,Own-child,White,Male,40,United-States,LessThan50K
31-50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
>50,Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,MoreThan50K
31-50,Private,Some-college,Divorced,Transport-moving,Own-child,White,Male,40,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,MoreThan50K
31-50,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,MoreThan50K
31-50,Private,HS-grad,Divorced,Craft-repair,Own-child,White,Male,50,United-States,LessThan50K
>50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Black,Male,45,United-States,LessThan50K
22-30,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
>50,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Private,9th,Married-civ-spouse,Transport-moving,Other-relative,White,Male,40,Mexico,LessThan50K
>50,?,Masters,Married-civ-spouse,?,Husband,White,Male,48,United-States,MoreThan50K
31-50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,MoreThan50K
22-30,?,Bachelors,Married-spouse-absent,?,Not-in-family,White,Female,15,United-States,LessThan50K
31-50,Private,Some-college,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,LessThan50K
>50,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,65,United-States,MoreThan50K
22-30,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
31-50,State-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,LessThan50K
31-50,State-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,72,United-States,MoreThan50K
31-50,?,Some-college,Separated,?,Unmarried,White,Male,40,United-States,LessThan50K
22-30,Private,Masters,Never-married,Prof-specialty,Own-child,White,Male,35,United-States,LessThan50K
31-50,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,Black,Female,40,United-States,LessThan50K
31-50,Private,5th-6th,Never-married,Machine-op-inspct,Not-in-family,White,Male,45,United-States,LessThan50K
31-50,Federal-gov,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,30,United-States,LessThan50K
>50,Private,HS-grad,Widowed,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,40,United-States,LessThan50K
31-50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,LessThan50K
22-30,Self-emp-inc,Some-college,Never-married,Craft-repair,Own-child,White,Male,35,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Craft-repair,Own-child,Amer-Indian-Eskimo,Male,40,United-States,LessThan50K
>50,?,Doctorate,Married-civ-spouse,?,Husband,White,Male,18-21,Canada,MoreThan50K
31-50,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,MoreThan50K
31-50,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,MoreThan50K
22-30,Private,Assoc-acdm,Never-married,Other-service,Own-child,Black,Male,44,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,LessThan50K
