src,flight,scheduled_dept,actual_dept,dept_gate,scheduled_arrival,actual_arrival,arrival_gate
mytripandmore,2011-12-09-AA-484-DFW-MIA,4:25pDec 9,4:29pDec 9, D17,7:55pDec 9,8:08pDec 9, D51
ua,2011-12-09-UA-2726-FLL-PHL,Fri- Dec 9 4:00 PM,Fri- Dec 9 4:00 PM,E3,Fri- Dec 9 6:46 PM,Fri- Dec 9 6:23 PM,B3
airtravelcenter,2011-12-09-UA-2726-FLL-PHL,,12/9/11 4:06 PM (-05:00),,,12/9/11 6:01 PM (-05:00),
myrateplan,2011-12-09-UA-2726-FLL-PHL,,12/9/11 4:06 PM (-05:00),,,12/9/11 6:01 PM (-05:00),
helloflight,2011-12-09-UA-2726-FLL-PHL,,12/9/11 4:06 PM (-05:00),,,12/9/11 6:01 PM (-05:00),
flytecomm,2011-12-09-UA-2726-FLL-PHL,,12/9/11 4:06 PM (-05:00),,,12/9/11 6:01 PM (-05:00),
flightaware,2011-12-09-UA-2726-FLL-PHL,2011-12-09 04:00PM EST,2011-12-09 04:05PM EST,,2011-12-09 06:36PM EST,2011-12-09 06:18PM EST,
wunderground,2011-12-09-UA-2726-FLL-PHL,2011-12-09 04:00PM EST,2011-12-09 04:05PM EST,,2011-12-09 06:36PM EST,2011-12-09 06:18PM EST,
flights,2011-12-09-UA-2726-FLL-PHL,04:00 PM  Fri 09-Dec-2011,03:56 PM  Fri 09-Dec-2011,E3,06:46 PM  Fri 09-Dec-2011,06:23 PM  Fri 09-Dec-2011,B3
businesstravellogue,2011-12-09-UA-2726-FLL-PHL,04:00 PM  Fri 09-Dec-2011,03:56 PM  Fri 09-Dec-2011,E3,06:46 PM  Fri 09-Dec-2011,06:23 PM  Fri 09-Dec-2011,B3
flylouisville,2011-12-09-UA-2726-FLL-PHL,04:00 PM  Fri 09-Dec-2011,03:56 PM  Fri 09-Dec-2011,E3,06:46 PM  Fri 09-Dec-2011,06:23 PM  Fri 09-Dec-2011,B3
flightstats,2011-12-09-UA-2726-FLL-PHL,2011-12-09 4:00 PM,2011-12-09 3:56 PM,,2011-12-09 6:46 PM,2011-12-09 6:23 PM,
quicktrip,2011-12-09-UA-2726-FLL-PHL,2011-12-09 4:00 PM,2011-12-09 3:56 PM,,2011-12-09 6:46 PM,2011-12-09 6:23 PM,
world-flight-tracker,2011-12-09-UA-2726-FLL-PHL,2011-12-09 4:00 PM,2011-12-09 3:56 PM,,2011-12-09 6:46 PM,2011-12-09 6:23 PM,
flightview,2011-12-09-UA-2726-FLL-PHL,4:00 PM- Dec 09,4:06 PM- Dec 09,Terminal 3 - E3,6:46 PM- Dec 09,6:46 PM- Dec 09,B3
panynj,2011-12-09-UA-2726-FLL-PHL,4:00 PM- Dec 09,4:06 PM- Dec 09,Terminal 3 - E3,6:46 PM- Dec 09,6:46 PM- Dec 09,B3
gofox,2011-12-09-UA-2726-FLL-PHL,4:00 PM- Dec 09,4:06 PM- Dec 09,,6:46 PM- Dec 09,6:46 PM- Dec 09,
foxbusiness,2011-12-09-UA-2726-FLL-PHL,4:00 PM- Dec 09,4:06 PM- Dec 09,Terminal 3 - E3,6:46 PM- Dec 09,6:46 PM- Dec 09,B3
allegiantair,2011-12-09-UA-2726-FLL-PHL,4:00 PM- Dec 09,4:06 PM- Dec 09,Terminal 3 - E3,6:46 PM- Dec 09,6:46 PM- Dec 09,B3
boston,2011-12-09-UA-2726-FLL-PHL,4:00 PM- Dec 09,4:06 PM- Dec 09,,6:46 PM- Dec 09,6:19 PM- Dec 09,
travelocity,2011-12-09-UA-2726-FLL-PHL,Dec 09 - 4:00pm,Dec 09 - Contact Airline,Not provided by airline,Dec 09 - 6:46pm,Dec 09 - Contact Airline,Not provided by airline
orbitz,2011-12-09-UA-2726-FLL-PHL,4:00pDec 9,3:56pDec 9, -,6:46pDec 9,6:23pDec 9, -
weather,2011-12-09-UA-2726-FLL-PHL,2011-12-09 04:00 PM,,,2011-12-09 06:46 PM,,
usatoday,2011-12-09-UA-2726-FLL-PHL,2011-12-09 04:00 PM,,,2011-12-09 06:46 PM,,
flightwise,2011-12-09-UA-2726-FLL-PHL,2011-12-09 04:00PM EST,2011-12-09 04:05PM EST,,2011-12-09 06:36PM EST,2011-12-09 06:18PM EST,
flightarrival,2011-12-09-UA-2726-FLL-PHL,2011-12-09 04:00 PM,,,2011-12-09 06:46 PM,,
aa,2011-12-09-AA-3809-PHX-LAX,December 9- 2011               06:00 AM    ,December 9- 2011               05:51 AM    , 2,December 9- 2011               06:40 AM    ,December 9- 2011               06:20 AM    , 44E    
flightexplorer,2011-12-09-AA-3809-PHX-LAX,,12/9/2011 6:12AM MST,,,12/9/2011 6:15AM PST,
airtravelcenter,2011-12-09-AA-3809-PHX-LAX,,12/9/11 6:12 AM (-07:00),,,12/9/11 6:15 AM (-08:00),
myrateplan,2011-12-09-AA-3809-PHX-LAX,,12/9/11 6:12 AM (-07:00),,,12/9/11 6:15 AM (-08:00),
helloflight,2011-12-09-AA-3809-PHX-LAX,,12/9/11 6:12 AM (-07:00),,,12/9/11 6:15 AM (-08:00),
flytecomm,2011-12-09-AA-3809-PHX-LAX,,12/9/11 6:12 AM (-07:00),,,12/9/11 6:15 AM (-08:00),
flightaware,2011-12-09-AA-3809-PHX-LAX,2011-12-09 06:00AM MST,2011-12-09 06:12AM MST, 2 ,2011-12-09 06:13AM PST,2011-12-09 06:11AM PST, 44E 
wunderground,2011-12-09-AA-3809-PHX-LAX,2011-12-09 06:00AM MST,2011-12-09 06:12AM MST, 2 ,2011-12-09 06:13AM PST,2011-12-09 06:11AM PST, 44E 
flights,2011-12-09-AA-3809-PHX-LAX,06:00 AM  Fri 09-Dec-2011,05:51 AM  Fri 09-Dec-2011,2,06:40 AM  Fri 09-Dec-2011,06:20 AM  Fri 09-Dec-2011,44E
businesstravellogue,2011-12-09-AA-3809-PHX-LAX,06:00 AM  Fri 09-Dec-2011,05:51 AM  Fri 09-Dec-2011,2,06:40 AM  Fri 09-Dec-2011,06:20 AM  Fri 09-Dec-2011,44E
flylouisville,2011-12-09-AA-3809-PHX-LAX,06:00 AM  Fri 09-Dec-2011,05:51 AM  Fri 09-Dec-2011,2,06:40 AM  Fri 09-Dec-2011,06:20 AM  Fri 09-Dec-2011,44E
flightstats,2011-12-09-AA-3809-PHX-LAX,2011-12-09 6:00 AM,2011-12-09 5:51 AM,,2011-12-09 6:40 AM,2011-12-09 6:20 AM,
quicktrip,2011-12-09-AA-3809-PHX-LAX,2011-12-09 6:00 AM,2011-12-09 5:51 AM,,2011-12-09 6:40 AM,2011-12-09 6:20 AM,
world-flight-tracker,2011-12-09-AA-3809-PHX-LAX,2011-12-09 6:00 AM,2011-12-09 5:51 AM,,2011-12-09 6:40 AM,2011-12-09 6:20 AM,
flightview,2011-12-09-AA-3809-PHX-LAX,6:00 AM- Dec 09,6:12 AM- Dec 09,Terminal 3 - 2,6:40 AM- Dec 09,6:20 AM- Dec 09,Terminal 4 - 44E
panynj,2011-12-09-AA-3809-PHX-LAX,6:00 AM- Dec 09,6:12 AM- Dec 09,Terminal 3 - 2,6:40 AM- Dec 09,6:20 AM- Dec 09,Terminal 4 - 44E
gofox,2011-12-09-AA-3809-PHX-LAX,6:00 AM- Dec 09,6:12 AM- Dec 09,,6:40 AM- Dec 09,6:20 AM- Dec 09,
foxbusiness,2011-12-09-AA-3809-PHX-LAX,6:00 AM- Dec 09,6:12 AM- Dec 09,Terminal 3 - 2,6:40 AM- Dec 09,6:20 AM- Dec 09,Terminal 4 - 44E
allegiantair,2011-12-09-AA-3809-PHX-LAX,6:00 AM- Dec 09,6:12 AM- Dec 09,Terminal 3 - 2,6:40 AM- Dec 09,6:20 AM- Dec 09,Terminal 4 - 44E
boston,2011-12-09-AA-3809-PHX-LAX,6:00 AM- Dec 09,6:12 AM- Dec 09,,6:40 AM- Dec 09,6:12 AM- Dec 09,
travelocity,2011-12-09-AA-3809-PHX-LAX,Dec 09 - 6:00am,Dec 09 - 5:51am,2,Dec 09 - 6:40am,Dec 09 - 6:20am,44E/T4
orbitz,2011-12-09-AA-3809-PHX-LAX,6:00aDec 9,5:51aDec 9, 2,6:40aDec 9,6:20aDec 9, 44E
weather,2011-12-09-AA-3809-PHX-LAX,2011-12-09 06:00 AM,,,2011-12-09 06:40 AM,,
ifly,2011-12-09-AA-3809-PHX-LAX,2011-12-09 6:00 AM,2011-12-09 5:51 AM,,2011-12-09 6:40 AM,2011-12-09 6:20 AM,
usatoday,2011-12-09-AA-3809-PHX-LAX,6:00 AM- Dec 09,6:12 AM- Dec 09,,6:40 AM- Dec 09,6:12 AM- Dec 09,
mytripandmore,2011-12-09-AA-3809-PHX-LAX,6:00aDec 9,5:51aDec 9, 2,6:40aDec 9,6:20aDec 9, 44E
flightarrival,2011-12-09-AA-3809-PHX-LAX,2011-12-09 06:00 AM,,,2011-12-09 06:40 AM,,
aa,2011-12-09-AA-2312-DFW-DTW,December 9- 2011               08:25 PM    ,December 9- 2011     , C27,December 9- 2011               11:50 PM    ,December 9- 2011     , D32    
flightexplorer,2011-12-09-AA-2312-DFW-DTW,12/9/2011 8:25PM CST,,,12/9/2011 11:50PM EST,,
airtravelcenter,2011-12-09-AA-2312-DFW-DTW,,12/9/11 8:30 PM (-06:00),,,12/9/11 11:19 PM (-05:00),
myrateplan,2011-12-09-AA-2312-DFW-DTW,,12/9/11 8:30 PM (-06:00),,,12/9/11 11:19 PM (-05:00),
helloflight,2011-12-09-AA-2312-DFW-DTW,,12/9/11 8:30 PM (-06:00),,,12/9/11 11:19 PM (-05:00),
flytecomm,2011-12-09-AA-2312-DFW-DTW,,12/9/11 8:30 PM (-06:00),,,12/9/11 11:19 PM (-05:00),
flightaware,2011-12-09-AA-2312-DFW-DTW,2011-12-09 08:25PM CST,2011-12-09 08:35PM CST, C27 ,2011-12-09 11:30PM EST,2011-12-09 11:40PM EST, D32 
wunderground,2011-12-09-AA-2312-DFW-DTW,2011-12-09 08:25PM CST,2011-12-09 08:35PM CST, C27 ,2011-12-09 11:30PM EST,2011-12-09 11:40PM EST, D32 
flights,2011-12-09-AA-2312-DFW-DTW,08:25 PM  Fri 09-Dec-2011,,C27,11:50 PM  Fri 09-Dec-2011,,D32
businesstravellogue,2011-12-09-AA-2312-DFW-DTW,08:25 PM  Fri 09-Dec-2011,,C27,11:50 PM  Fri 09-Dec-2011,,D32
flylouisville,2011-12-09-AA-2312-DFW-DTW,08:25 PM  Fri 09-Dec-2011,,C27,11:50 PM  Fri 09-Dec-2011,,D32
flightstats,2011-12-09-AA-2312-DFW-DTW,2011-12-09 8:25 PM,2011-12-09 8:25 PM (Estimated),,2011-12-09 11:50 PM,2011-12-09 11:50 PM (Estimated),
quicktrip,2011-12-09-AA-2312-DFW-DTW,2011-12-09 8:25 PM,2011-12-09 8:25 PM (Estimated),,2011-12-09 11:50 PM,2011-12-09 11:50 PM (Estimated),
world-flight-tracker,2011-12-09-AA-2312-DFW-DTW,2011-12-09 8:25 PM,2011-12-09 8:25 PM (Estimated),,2011-12-09 11:50 PM,2011-12-09 11:50 PM (Estimated),
flightview,2011-12-09-AA-2312-DFW-DTW,8:25 PM- Dec 09,,,11:50 PM- Dec 09,,
panynj,2011-12-09-AA-2312-DFW-DTW,8:25 PM- Dec 09,,,11:50 PM- Dec 09,,
gofox,2011-12-09-AA-2312-DFW-DTW,8:25 PM- Dec 09,,,11:50 PM- Dec 09,,
foxbusiness,2011-12-09-AA-2312-DFW-DTW,8:25 PM- Dec 09,,,11:50 PM- Dec 09,,
allegiantair,2011-12-09-AA-2312-DFW-DTW,8:25 PM- Dec 09,,,11:50 PM- Dec 09,,
boston,2011-12-09-AA-2312-DFW-DTW,8:25 PM- Dec 09,Not Available,,11:50 PM- Dec 09,Not Available,
travelocity,2011-12-09-AA-2312-DFW-DTW,Dec 09 - 8:25pm,Dec 09 - Not Available,C27/C,Dec 09 - 11:50pm,Dec 09 - Not Available,D32
orbitz,2011-12-09-AA-2312-DFW-DTW,8:25pDec 9,, C27,11:50pDec 9,, D32
weather,2011-12-09-AA-2312-DFW-DTW,2011-12-09 08:25 PM,2011-12-09 08:35 PM,,2011-12-09 11:50 PM,2011-12-09 11:27 PM,
dfw,2011-12-09-AA-2312-DFW-DTW,2011-12-09 8:25 pm,,C12,,,
ifly,2011-12-09-AA-2312-DFW-DTW,2011-12-09 8:25 PM,2011-12-09 8:25 PM (Estimated),,2011-12-09 11:50 PM,2011-12-09 11:50 PM (Estimated),
usatoday,2011-12-09-AA-2312-DFW-DTW,2011-12-09 08:25 PM,2011-12-09 08:35 PM,,2011-12-09 11:50 PM,2011-12-09 11:27 PM,
mytripandmore,2011-12-09-AA-2312-DFW-DTW,8:25pDec 9,, C27,11:50pDec 9,, D32
aa,2011-12-09-AA-1165-JFK-MIA,December 9- 2011               06:59 AM    ,December 9- 2011               06:55 AM    , 40,December 9- 2011               10:34 AM    ,December 9- 2011               10:22 AM    , D24    
flightexplorer,2011-12-09-AA-1165-JFK-MIA,,12/9/2011 7:15AM EST,,,12/9/2011 9:57AM EST,
airtravelcenter,2011-12-09-AA-1165-JFK-MIA,,12/9/11 7:15 AM (-05:00),,,12/9/11 9:57 AM (-05:00),
myrateplan,2011-12-09-AA-1165-JFK-MIA,,12/9/11 7:15 AM (-05:00),,,12/9/11 9:57 AM (-05:00),
helloflight,2011-12-09-AA-1165-JFK-MIA,,12/9/11 7:15 AM (-05:00),,,12/9/11 9:57 AM (-05:00),
flytecomm,2011-12-09-AA-1165-JFK-MIA,,12/9/11 7:15 AM (-05:00),,,12/9/11 9:57 AM (-05:00),
flightaware,2011-12-09-AA-1165-JFK-MIA,2011-12-09 06:59AM EST,2011-12-09 07:13AM EST, 40 ,2011-12-09 10:24AM EST,2011-12-09 09:57AM EST, D24 
wunderground,2011-12-09-AA-1165-JFK-MIA,2011-12-09 06:59AM EST,2011-12-09 07:13AM EST, 40 ,2011-12-09 10:24AM EST,2011-12-09 09:57AM EST, D24 
flights,2011-12-09-AA-1165-JFK-MIA,06:59 AM  Fri 09-Dec-2011,06:55 AM  Fri 09-Dec-2011,C40,10:34 AM  Fri 09-Dec-2011,10:22 AM  Fri 09-Dec-2011,D24
businesstravellogue,2011-12-09-AA-1165-JFK-MIA,06:59 AM  Fri 09-Dec-2011,06:55 AM  Fri 09-Dec-2011,C40,10:34 AM  Fri 09-Dec-2011,10:22 AM  Fri 09-Dec-2011,D24
flylouisville,2011-12-09-AA-1165-JFK-MIA,06:59 AM  Fri 09-Dec-2011,06:55 AM  Fri 09-Dec-2011,C40,10:34 AM  Fri 09-Dec-2011,10:22 AM  Fri 09-Dec-2011,D24
flightstats,2011-12-09-AA-1165-JFK-MIA,2011-12-09 6:59 AM,2011-12-09 6:55 AM,,2011-12-09 10:34 AM,2011-12-09 10:22 AM,
quicktrip,2011-12-09-AA-1165-JFK-MIA,2011-12-09 6:59 AM,2011-12-09 6:55 AM,,2011-12-09 10:34 AM,2011-12-09 10:22 AM,
world-flight-tracker,2011-12-09-AA-1165-JFK-MIA,2011-12-09 6:59 AM,2011-12-09 6:55 AM,,2011-12-09 10:34 AM,2011-12-09 10:22 AM,
flightview,2011-12-09-AA-1165-JFK-MIA,6:59 AM- Dec 09,7:15 AM- Dec 09,Terminal 8 - 40,10:34 AM- Dec 09,10:22 AM- Dec 09,Terminal D - D24
panynj,2011-12-09-AA-1165-JFK-MIA,6:59 AM- Dec 09,7:15 AM- Dec 09,Terminal 8 - 40,10:34 AM- Dec 09,10:22 AM- Dec 09,Terminal D - D24
gofox,2011-12-09-AA-1165-JFK-MIA,6:59 AM- Dec 09,7:15 AM- Dec 09,,10:34 AM- Dec 09,10:22 AM- Dec 09,
foxbusiness,2011-12-09-AA-1165-JFK-MIA,6:59 AM- Dec 09,7:15 AM- Dec 09,Terminal 8 - 40,10:34 AM- Dec 09,10:22 AM- Dec 09,Terminal D - D24
allegiantair,2011-12-09-AA-1165-JFK-MIA,6:59 AM- Dec 09,7:15 AM- Dec 09,Terminal 8 - 40,10:34 AM- Dec 09,10:22 AM- Dec 09,Terminal D - D24
boston,2011-12-09-AA-1165-JFK-MIA,6:59 AM- Dec 09,7:15 AM- Dec 09,,10:34 AM- Dec 09,10:14 AM- Dec 09,
travelocity,2011-12-09-AA-1165-JFK-MIA,Dec 09 - 6:59am,Dec 09 - 6:55am,40/8,Dec 09 - 10:34am,Dec 09 - 10:22am,D24
orbitz,2011-12-09-AA-1165-JFK-MIA,6:59aDec 9,6:55aDec 9, 40,10:34aDec 9,10:22aDec 9, D24
weather,2011-12-09-AA-1165-JFK-MIA,2011-12-09 06:59 AM,2011-12-09 07:15 AM,,2011-12-09 10:34 AM,2011-12-09 10:10 AM,
mia,2011-12-09-AA-1165-JFK-MIA,,,,10:34A 12-09-11,2011-12-09  10:15A,
usatoday,2011-12-09-AA-1165-JFK-MIA,2011-12-09 06:59 AM,2011-12-09 07:15 AM,,2011-12-09 10:34 AM,2011-12-09 10:10 AM,
mytripandmore,2011-12-09-AA-1165-JFK-MIA,6:59aDec 9,6:55aDec 9, 40,10:34aDec 9,10:22aDec 9, D24
flightarrival,2011-12-09-AA-1165-JFK-MIA,6:59 AM- Dec 09,7:15 AM- Dec 09,,10:34 AM- Dec 09,10:14 AM- Dec 09,
aa,2011-12-09-AA-415-BOS-ORD,December 9- 2011               08:35 AM    ,December 9- 2011               08:30 AM    , B31,December 9- 2011               10:40 AM    ,December 9- 2011               10:34 AM    , K5    
airtravelcenter,2011-12-09-AA-415-BOS-ORD,,12/9/11 8:44 AM (-05:00),,,12/9/11 10:14 AM (-06:00),
myrateplan,2011-12-09-AA-415-BOS-ORD,,12/9/11 8:44 AM (-05:00),,,12/9/11 10:14 AM (-06:00),
helloflight,2011-12-09-AA-415-BOS-ORD,,12/9/11 8:44 AM (-05:00),,,12/9/11 10:14 AM (-06:00),
flytecomm,2011-12-09-AA-415-BOS-ORD,,12/9/11 8:44 AM (-05:00),,,12/9/11 10:14 AM (-06:00),
flights,2011-12-09-AA-415-BOS-ORD,,2011-12-09 08:30 AM,B31,,2011-12-09 10:34 AM,K5
businesstravellogue,2011-12-09-AA-415-BOS-ORD,,2011-12-09 08:30 AM,B31,,2011-12-09 10:34 AM,K5
flylouisville,2011-12-09-AA-415-BOS-ORD,,2011-12-09 08:30 AM,B31,,2011-12-09 10:34 AM,K5
flightstats,2011-12-09-AA-415-BOS-ORD,2011-12-09 8:35 AM,2011-12-09 8:30 AM,,2011-12-09 10:40 AM,2011-12-09 10:34 AM,
quicktrip,2011-12-09-AA-415-BOS-ORD,2011-12-09 8:35 AM,2011-12-09 8:30 AM,,2011-12-09 10:40 AM,2011-12-09 10:34 AM,
flightview,2011-12-09-AA-415-BOS-ORD,,8:45 AMDec 09,,,10:17 AMDec 09,
panynj,2011-12-09-AA-415-BOS-ORD,,8:45 AMDec 09,,,10:17 AMDec 09,
gofox,2011-12-09-AA-415-BOS-ORD,,8:45 AMDec 09,,,10:17 AMDec 09,
foxbusiness,2011-12-09-AA-415-BOS-ORD,,8:45 AMDec 09,,,10:17 AMDec 09,
allegiantair,2011-12-09-AA-415-BOS-ORD,,8:45 AMDec 09,,,10:17 AMDec 09,
boston,2011-12-09-AA-415-BOS-ORD,,8:45 AMDec 09,,,10:17 AMDec 09,
travelocity,2011-12-09-AA-415-BOS-ORD,Dec 09 - 8:35am,Dec 09 - 8:30am,B31,Dec 09 - 10:40am,Dec 09 - 10:34am,K5/T3
orbitz,2011-12-09-AA-415-BOS-ORD,8:35aDec 9,8:30aDec 9, B31,10:40aDec 9,10:34aDec 9, K5
weather,2011-12-09-AA-415-BOS-ORD,2011-12-09 08:35 AM,,,2011-12-09 10:40 AM,,
ord,2011-12-09-AA-415-BOS-ORD,2011-12-09 12/8 8:35 AM,,B31,2011-12-09 12/8 10:40 AM,,H17
usatoday,2011-12-09-AA-415-BOS-ORD,,8:45 AMDec 09,,,10:17 AMDec 09,
mytripandmore,2011-12-09-AA-415-BOS-ORD,Dec 09 - 8:35am,Dec 09 - 8:30am,B31,Dec 09 - 10:40am,Dec 09 - 10:34am,K5/T3
flightarrival,2011-12-09-AA-415-BOS-ORD,2011-12-09 08:35 AM,,,2011-12-09 10:40 AM,,
aa,2011-12-09-AA-4330-CVG-ORD,December 9- 2011               03:35 PM    ,December 9- 2011               03:29 PM    , 5,December 9- 2011               04:00 PM    ,December 9- 2011               03:33 PM    , G12    
flightexplorer,2011-12-09-AA-4330-CVG-ORD,,12/9/2011 3:39PM EST,,,12/9/2011 3:30PM CST,
airtravelcenter,2011-12-09-AA-4330-CVG-ORD,,12/9/11 3:39 PM (-05:00),,,12/9/11 3:30 PM (-06:00),
myrateplan,2011-12-09-AA-4330-CVG-ORD,,12/9/11 3:39 PM (-05:00),,,12/9/11 3:30 PM (-06:00),
helloflight,2011-12-09-AA-4330-CVG-ORD,,12/9/11 3:39 PM (-05:00),,,12/9/11 3:30 PM (-06:00),
flytecomm,2011-12-09-AA-4330-CVG-ORD,,12/9/11 3:39 PM (-05:00),,,12/9/11 3:30 PM (-06:00),
flightaware,2011-12-09-AA-4330-CVG-ORD,2011-12-09 03:35PM EST,2011-12-09 03:39PM EST, 5 ,2011-12-09 03:43PM CST,2011-12-09 03:27PM CST, G12 
wunderground,2011-12-09-AA-4330-CVG-ORD,2011-12-09 03:35PM EST,2011-12-09 03:39PM EST, 5 ,2011-12-09 03:43PM CST,2011-12-09 03:27PM CST, G12 
flights,2011-12-09-AA-4330-CVG-ORD,,2011-12-09 03:35 PM,5,,2011-12-09 04:00 PM,G12
businesstravellogue,2011-12-09-AA-4330-CVG-ORD,,2011-12-09 03:35 PM,5,,2011-12-09 04:00 PM,G12
flylouisville,2011-12-09-AA-4330-CVG-ORD,,2011-12-09 03:35 PM,5,,2011-12-09 04:00 PM,G12
flightstats,2011-12-09-AA-4330-CVG-ORD,2011-12-09 3:35 PM,2011-12-09 3:40 PM (runway),,2011-12-09 4:00 PM,2011-12-09 3:28 PM (runway),
quicktrip,2011-12-09-AA-4330-CVG-ORD,2011-12-09 3:35 PM,2011-12-09 3:40 PM (runway),,2011-12-09 4:00 PM,2011-12-09 3:28 PM (runway),
flightview,2011-12-09-AA-4330-CVG-ORD,,3:39 PMDec 09,,,3:28 PMDec 09,
panynj,2011-12-09-AA-4330-CVG-ORD,,3:39 PMDec 09,,,3:28 PMDec 09,
gofox,2011-12-09-AA-4330-CVG-ORD,,3:39 PMDec 09,,,3:28 PMDec 09,
foxbusiness,2011-12-09-AA-4330-CVG-ORD,,3:39 PMDec 09,,,3:28 PMDec 09,
allegiantair,2011-12-09-AA-4330-CVG-ORD,,3:39 PMDec 09,,,3:28 PMDec 09,
boston,2011-12-09-AA-4330-CVG-ORD,,3:39 PMDec 09,,,3:28 PMDec 09,
orbitz,2011-12-09-AA-4330-CVG-ORD,3:35pDec 9,3:29pDec 9, 5,4:00pDec 9,3:33pDec 9, G12
ord,2011-12-09-AA-4330-CVG-ORD,2011-12-09 3:35 PM,,5,2011-12-09 4:00 PM,,G12
flightwise,2011-12-09-AA-4330-CVG-ORD,2011-12-09 03:35PM EST,2011-12-09 03:39PM EST, 5 ,2011-12-09 03:43PM CST,2011-12-09 03:27PM CST, G12 
flightarrival,2011-12-09-AA-4330-CVG-ORD,,3:39 PMDec 09,,,3:28 PMDec 09,
aa,2011-12-09-AA-1434-DFW-MCO,December 9- 2011               07:15 AM    ,December 9- 2011               07:06 AM    , C19,December 9- 2011               10:35 AM    ,December 9- 2011               10:27 AM    , 17    
flightexplorer,2011-12-09-AA-1434-DFW-MCO,,12/9/2011 7:23AM CST,,,12/9/2011 10:27AM EST,
airtravelcenter,2011-12-09-AA-1434-DFW-MCO,,12/9/11 7:23 AM (-06:00),,,12/9/11 10:27 AM (-05:00),
myrateplan,2011-12-09-AA-1434-DFW-MCO,,12/9/11 7:23 AM (-06:00),,,12/9/11 10:27 AM (-05:00),
helloflight,2011-12-09-AA-1434-DFW-MCO,,12/9/11 7:23 AM (-06:00),,,12/9/11 10:27 AM (-05:00),
flytecomm,2011-12-09-AA-1434-DFW-MCO,,12/9/11 7:23 AM (-06:00),,,12/9/11 10:27 AM (-05:00),
flightaware,2011-12-09-AA-1434-DFW-MCO,2011-12-09 07:15AM CST,2011-12-09 07:23AM CST, C19 ,2011-12-09 10:25AM EST,2011-12-09 10:21AM EST, 17 
wunderground,2011-12-09-AA-1434-DFW-MCO,2011-12-09 07:15AM CST,2011-12-09 07:23AM CST, C19 ,2011-12-09 10:25AM EST,2011-12-09 10:21AM EST, 17 
flights,2011-12-09-AA-1434-DFW-MCO,07:15 AM  Fri 09-Dec-2011,07:06 AM  Fri 09-Dec-2011,C19,10:35 AM  Fri 09-Dec-2011,10:27 AM  Fri 09-Dec-2011,17
businesstravellogue,2011-12-09-AA-1434-DFW-MCO,07:15 AM  Fri 09-Dec-2011,07:06 AM  Fri 09-Dec-2011,C19,10:35 AM  Fri 09-Dec-2011,10:27 AM  Fri 09-Dec-2011,17
flylouisville,2011-12-09-AA-1434-DFW-MCO,07:15 AM  Fri 09-Dec-2011,07:06 AM  Fri 09-Dec-2011,C19,10:35 AM  Fri 09-Dec-2011,10:27 AM  Fri 09-Dec-2011,17
flightstats,2011-12-09-AA-1434-DFW-MCO,2011-12-09 7:15 AM,2011-12-09 7:06 AM,,2011-12-09 10:35 AM,2011-12-09 10:27 AM,
quicktrip,2011-12-09-AA-1434-DFW-MCO,2011-12-09 7:15 AM,2011-12-09 7:06 AM,,2011-12-09 10:35 AM,2011-12-09 10:27 AM,
world-flight-tracker,2011-12-09-AA-1434-DFW-MCO,2011-12-09 7:15 AM,2011-12-09 7:06 AM,,2011-12-09 10:35 AM,2011-12-09 10:27 AM,
flightview,2011-12-09-AA-1434-DFW-MCO,7:15 AM- Dec 09,7:23 AM- Dec 09,C19,10:35 AM- Dec 09,10:22 AM- Dec 09,17
panynj,2011-12-09-AA-1434-DFW-MCO,7:15 AM- Dec 09,7:23 AM- Dec 09,C19,10:35 AM- Dec 09,10:22 AM- Dec 09,17
gofox,2011-12-09-AA-1434-DFW-MCO,7:15 AM- Dec 09,7:23 AM- Dec 09,,10:35 AM- Dec 09,10:22 AM- Dec 09,
foxbusiness,2011-12-09-AA-1434-DFW-MCO,7:15 AM- Dec 09,7:23 AM- Dec 09,C19,10:35 AM- Dec 09,10:22 AM- Dec 09,17
allegiantair,2011-12-09-AA-1434-DFW-MCO,7:15 AM- Dec 09,7:23 AM- Dec 09,C19,10:35 AM- Dec 09,10:22 AM- Dec 09,17
boston,2011-12-09-AA-1434-DFW-MCO,7:15 AM- Dec 09,7:23 AM- Dec 09,,10:35 AM- Dec 09,10:22 AM- Dec 09,
travelocity,2011-12-09-AA-1434-DFW-MCO,Dec 09 - 7:15am,Dec 09 - 7:06am,C19/C,Dec 09 - 10:35am,Dec 09 - 10:27am,17
orbitz,2011-12-09-AA-1434-DFW-MCO,7:15aDec 9,7:06aDec 9, C19,10:35aDec 9,10:27aDec 9, 17
weather,2011-12-09-AA-1434-DFW-MCO,2011-12-09 07:15 AM,2011-12-09 07:23 AM,,2011-12-09 10:35 AM,2011-12-09 10:33 AM,
mco,2011-12-09-AA-1434-DFW-MCO,,,,2011-12-09 Fri  10:35,2011-12-09 Fri  10:27,17?
mytripandmore,2011-12-09-AA-1434-DFW-MCO,7:15aDec 9,7:06aDec 9, C19,10:35aDec 9,10:27aDec 9, 17
flightarrival,2011-12-09-AA-1434-DFW-MCO,7:15 AM- Dec 09,7:23 AM- Dec 09,,10:35 AM- Dec 09,10:22 AM- Dec 09,
